major,department,required_courses,notes,advising_tips
Accounting,Accounting,"ACCT201; ACCT202; ACCT301; ACCT302; ECON201; ECON202; STAT302; MGMT220; ENGL101; ENGL102","Accounting students should complete the business and quantitative core early to stay ready for internship and CPA-oriented planning.","Move through accounting and economics in sequence and use junior-year advising to plan for internships, public accounting, or corporate finance roles."
Civil Engineering,Civil and Environmental Engineering,"ENGE101; ENGE102; CEGR201; CEGR220; CEGR310; CEGR320; MATH141; MATH241; PHYS101; PHYS102","Civil Engineering students need steady progress through math, physics, and mechanics because design courses depend on them.","Do not delay calculus, physics, or statics because they feed directly into structural, transportation, and water-resources work."
Nursing,Nursing,"NURS101; NURS201; NURS220; NURS301; NURS320; BIOL101; BIOL102; CHEM101; PSYC101; STAT302","Nursing students should coordinate science prerequisites, clinical sequencing, and health-support coursework carefully.","Stay on pace with anatomy-related science, psychology, and clinical-prep courses so you remain eligible for upper-level nursing progression."
Cloud Computing,Cloud Computing,"CLDC101; CLDC220; CLDC310; CLDC340; CLDC420; COSC111; COSC241; STAT302; MATH141","Cloud Computing students should blend programming infrastructure automation and security as they move from foundations into platform design.","Take programming and cloud infrastructure early so upper-level security automation and DevOps courses fit naturally into junior and senior planning."
Architecture,Architecture,"ARCH101; ARCH102; ARCH220; ARCH201; ARCH310; ARCH320; ARCH401; MATH141; PHYS101; ENGL101","Architecture students need a steady sequence of studio graphics history and building systems courses to stay on pace for upper-level design work.","Treat studio and graphics courses as anchors each term and avoid delaying structures or building-systems work."
Construction Management,Construction Management,"CMGT210; CMGT220; CMGT310; CMGT410; MATH141; PHYS101; ENGL101; COMM200","Morgan construction management students progress through materials, estimating, scheduling, and project delivery preparation.","Treat the construction sequence as a chain and avoid delaying estimating or scheduling if you want smoother upper-level planning."
Interior Design,Interior Design,"INTD210; INTD220; INTD310; INTD410; ARCH101; ARCH220; ENGL101; COMM200","Morgan interior design students need steady studio progression plus materials, documentation, and professional-practice readiness.","Use studio courses as anchors each term and avoid delaying materials or professional-practice work."
Marketing,Business Administration,"ACCT201; ECON201; ECON202; MGMT220; MKTG210; MKTG331; STAT302; ENGL101; ENGL102; COMM200","Morgan marketing students move from shared business fundamentals into marketing strategy and market analysis.","Use MKTG210 as the transition point into upper-level marketing work and keep economics plus statistics in place for stronger planning."
Entrepreneurship,Business Administration,"ACCT201; ECON201; MGMT220; MKTG210; ENTR300; ENTR410; STAT302; ENGL101; ENGL102","Morgan entrepreneurship students combine a shared business core with venture creation and applied strategy for new enterprise development.","Build accounting management marketing and quantitative context before venture-heavy coursework."
Hospitality Management,Business Administration,"ACCT201; ECON201; MGMT220; MKTG210; STAT302; ENGL101; ENGL102; COMM200","Hospitality Management students combine a shared business core with service operations and leadership preparation.","Build the business core first so upper-level hospitality planning has enough operational context."
Human Resource Management,Business Administration,"ACCT201; ECON201; MGMT220; MGMT330; STAT302; ENGL101; ENGL102; COMM200","Human Resource Management students combine shared business preparation with organizational behavior and people-management direction.","Use the lower-division business and management core as the base for later HR-focused planning."
Elementary Education,Education,"EDUC200; EDUC220; EDUC310; EDUC320; EDUC330; EDUC410; ENGL101; ENGL102; PSYC101; PSYC210; MATH141","Elementary Education students build child-development and teaching-methods foundations before internship and certification-focused work.","Move through the early education sequence on time so upper-level methods and internship planning stay aligned with teacher-prep milestones."
Philosophy,Philosophy,"PHIL101; PHIL201; PHIL220; PHIL310; PHIL330; PHIL401; ENGL101; ENGL102","Morgan philosophy study emphasizes ethics, logic, religion, and advanced critical reasoning useful for law, public service, and graduate study.","Take logic and writing-intensive coursework early so upper-level theory and seminar work are easier to sequence."
Physics,Physics,"PHYS101; PHYS102; PHYS201; PHYS310; PHYS320; PHYS401; MATH141; MATH241; MATH243; CHEM101","Morgan's physics program emphasizes mathematical preparation, laboratory science, and advanced physical reasoning for research and technical careers.","Stay on pace through calculus and the introductory physics sequence so upper-level theory and seminar work remain accessible."
